"post","illness"
"네스터 언더뽀스 궁금하면 하제 안주머니 뒤적해봐요 거기 담배있어요 하제가 담배중독인게 이게하제하해야 사랑해","insomnia"
"당장 복용 중단하세요치매 치료제 섞인 탈모약 유통돼 긴급 회수","alzheimer"
"사실 내가 조울증도 아니고 도 아니었다면 그냥 조진거라면 그냥 인생 조진거라면","anxiety"
"예들아 폰 하루에 시간하는것도 일수도잇대 병원가서 검사받아봐 나는낼모레예약돼있다","adhd"
"찾아보니까 요즘은 조증이 한번이라도 발현되면 조울증이라고 진단하고 그거에 맞게 치료를 한대 근데 형양극성장애는 조증발현하고 형은 경조증 발현인데 경조증 자체가 발견하기가 존나 애매한데 어케 진단하노","anxiety"
"경기청년마인드케어 지원 범위를 좀더 늘려주실 수 있으신가요 현재 지원되는 범위가 조현병 분열형 및 망상장애 기분정동장애 신경증성 스트레스연관 및 신체형 장애인데 정신과 질병은 여러개가 겹쳐서 오는 경우가 많습니다","schizophrenia"
"양극성장애를 앓는 환자가 자신을 돌보는 의사에게 끔찍한 일을 했군요 양극성 장애를 알아보세요 누군가를 위한 정신의학정보 조울증 약물치료 최신 가이드라인","anxiety"
"탐라에 약 먹는 수험생만 둘 셋 보이는데 우리나라 교육제도나 사회진출 방식이 참 병신같다고 느낌 나도 지금은 멀쩡하게 생활하고 있지만 고인가 고때 아무도 모르게 자살기도 했던거 생각하면 참 그래","suicide"
"좋아요 수면부족수면과다불면증 등 잘못된 수면습관 개선을 위해 수면진료전문가가 들려주는 강력한 수면건강법 신간 수면 테라피 상세도서정보","eating disorder"
"하앜 즐겁네요 금연시키면 사탕오질나게먹고 술도 많이먹고 진성꼴초에 알코올중독이에요","alcoholism"
"불안한 덕질하면 헤이팅하게 되어있음 우린 절대 못 느낄 감정","depression"
"요헤너스진짜어메이징하네요 혹시알코올중독 치료도 하시는지 도망자가 셋으로 늘 듯","alcoholism"
"아 이런 금주 달차 알코올중독같으니 년 로코부문 최고의 트윗","alcoholism"
"불면증으로 고생하는 나가 유일하게 보는 유튜버 임찬균 으로 써주세요 맛집 샘들","eating disorder"
"용감한 솔로 육아내가 키운다에 새롭게 합류한 쥬얼리 출신 이지현의 둘째 아들 우경 군이 방송에서 한 말입니다 이지현은 우경이가 주의력 결핍 과잉행동 장애을 앓고 있다고 고백했습니다","adhd"
"분당서울대병원 소방관의 직무스트레스 우울증과 알코올 사용 장애 악화시켜","alcoholism"
"장근석 양극성장애 소식에 네티즌 돈 벌땐 정상 군대 갈땐 정신병 다음연예 연예계 는 환자 집합소 구나","anxiety"
"즈 나이츠 너무 무섭다 작곡방해로 레오한테 혼나고 수면방해로 리츠한테 혼나고 왔어요","nicotine"
"물론 내가 너무 늦게 올라타서 이미 내 탐라의 대부분은 다 해보셨을 거라 생각되지만 진짜 아직 안 해보신 분들 중에 디스아너드 좋아하고 그 중에서도 스틸턴 저택 좋아하셨던 분이라면 헬블레이드 강력 추천해보고 싶지 말입니다 근데 문제는 공포 주의 고어 주의 조현병 증상 있으신 분 주의","schizophrenia"
"그래도 거식이나 폭식증은 없고 단순 체중관리 정도라 크게 문제는 없어요 아마 지금 살찐거 빼야한다고 러닝머신이라도 하고 있지 않을까요","bipolar disorder"
"근데요 분위기가 서초동 불빛이 확병에 울화병에 근심병에 뀨들","anger syndrome"
"저는 우울 할 때 그냥 완전 우울한 것만 들어요 그렇게 싹 뽑아내면 후련하더라구요","nicotine"
"찐 수면장애는 알람 울리기 시간 전에 이미 깸","eating disorder"
"내친구들 고딩대 초까지만 우울증 자해 자살기도 응급실 달고 살아서 갑자기 누구 장례식 가야할까봐 검은 옷 준비해두고 그랬는데 초중 넘어서 전두엽이 안정된건지 다들 귀신같이 잠잠해진게 웃기고 다행임 그래 얘드라 정신 건강하게 살자구","suicide"
"이러다가 불안증 생기는거 아니냐콬","depression"
"여대생 술에 의존하는 알코올 사용장애 심각","alcoholism"
"증상 읽어보니 그건 아닌거 같고 그렇다고 운동능력이 엄청떨어지는것도 아니고","adhd"
"스트레스 내성이 강하다는 건 몰꽈 화병나게하겠다는걸 돌려말하는 건가","anger syndrome"
"의마님은진천희로불면증을 고쳐주시려고하는데 진천희가 한시진 자는 샛기라 의마님 그림이귀여워서웃고 잠은안자는연성","eating disorder"
"그동안의 환각 피해망상 조현병 증상으로 범행한 것으로 의사 결정 능력과 판단 능력 결여 형법상 처벌 할 수 없는 경우","schizophrenia"
"그리고 솔직하게 털어놓자면 자해시도까지 해본적이 있다 몇달전 학업관련으로 아빠의 꾸지람을 듣고 커터칼을 빼들었다 그 순간 아니 그때마다 내가 자해한 모습을 보고 충격을 먹을 부모님모습이 생각이 나서 그만뒀었다 아빠는 나에게 친구같은 존재가 되고싶다는데 항상 이런 모습을 보이니","suicide"
"우리 엄빠도 글고 할머니할아버지가 치매 걸리셔서 나 기억 못하는 거 보고 맘이 쪼금 힘들어짐 할머니가 나를 진짜 예뻐하셨는데","alzheimer"
"모르겟다그냥이게맞나싶고 그냥작은차는포기하는게맞는듯 저거까지하다가는울화병으로죽을거같애","anger syndrome"
"조현병 걸린 영국인 약 먹어 필립 어서 약","schizophrenia"
"컨디션을올리면내려가고올리면내려가고포기하고트레이닝해도내려가고올리면또내려가고휴식하면불면증체력이회복되었다수면부족상태가되었다양호실들락날락해도낫지도않고결국그대로레이싱해서착알람시계착알람시계착육성종료수고하셨어요팀편성하시겠어요겠냐억까좀그만해","eating disorder"
"조울증 테스트 님의 조울증 자가진단 테스트 점수는 점 입니다 결과 전문가와 상담이 필요합니다","anxiety"
"분노 배신감 답답함 억울함 등 복잡한 감정이 이 사진을 보고 생깁니다 이런 장면들이 수차례 반복되니 국민들의 마음에 멍이 들고 그것은 울화병으로 이어질 것입니다 이 울화병을 치료하려면 별수 없습니다 세상을 바로잡는 수 밖에","anger syndrome"
"졸피뎀이랑 알프라졸람은 수면장애나 불안장애가 있다면 생각보다 어렵지 않게 처방되는 약인데 저걸 저렇게 마약이라 대문짝만하게 써놓으면 이제 정신과 환자에 대한 편견으로 약쟁이가 추가되겠군요","eating disorder"
"제일 싫어하는 감정이 이러지도 저러지도 못 하고 내가 바꿀 수 없는 상황에서 제일 큰 스트레스를 받는데 요즘 계속 이래서 기준 좋았다가 우울해졌다가 반복임 존나 조울증처럼","anxiety"
"알츠하이머형 치매의 중등도 증상 쉬운 계산이 틀린다 시간 장소를 구분하는 능력이 불확실하다 요리솜씨가 변한다 차림새에 뭄관심해진다 자기 집 방향을 차각한다 어제 한 일을 모두 잊는다 감정 조절을 못한다 피해망상이 있다 아직까진 자기주변의 일은 스스로 할 수 있다","alzheimer"
"일 동안 송태섭은 실종상태였고 우성은 중간중간 멀쩡히 멀쩡한척 일상생활했기에 용의선상에 오르지 않았음 며칠전에야 우성의 이상행동에 감지되었고 추적중인데 현재는 행방이 묘연하다 는 답을 받음 다행히 태섭이 크게 다치거나 한 건 없어서 잠시 입원하고 수액맞고 하면서 건강회복할듯","nicotine"
"여름 여행 생각했던 대로 잘 안 돼서 불안증 폭주하고 다 때려치우려다가 가까스로 하나씩 해나가는 중 이럴 땐 옆에 캄다운 시켜줄 있어서 다행이다","depression"
"치매 고기능 단백물질 개발 치매 고기능 단백물질 개발 경상대 김명옥 교수 연구팀 국내 연구진이 노인성 치매에 효과적인 고기능성 천연 단백물질을 개발했다인체에 해가 없는 천연 단","alzheimer"
"수면 부족으로 인해 죽은 사람이 없다는 것을 기억하라 불면증에 대한 고민이 해를 끼치는 것이지 불면증 자체가 해를 주는 것은 아니다 피로와 걱정을 방지하고 늘 원기 있게 사는 방법","eating disorder"
"저도 몰랐는데 사람들이 생각하는 는 자기 행동 컨트롤 못 해서 소리지르며 사방팔방 뛰어다니는 그런 과잉행동형 아동을 떠올리더라고요 어떤 분이 영화관에서 옆 사람이 계속 혼잣말을 중얼거리고 몸을 앞뒤로 흔든다면서 혹시 냐고 묻는 글을 보고 충격받은 적 있어요","adhd"
"길티로 유입된 팬들 많을 거 같아서 티켓팅 진짜 존나 자살 행위될 듯","suicide"
"충전기가 망가져서 지금 충전을 못하고 있는데 혹시 충전값 한 번만 도와주실 분 있으신가요인증도 해드릴게여 헬퍼 헬프 도움 우울 가출 가출청소년 학생 청소년 대면 비대면 기프티콘 도와주세요 노숙 자살 배고파요 힘들어요 죽고싶다","suicide"
"스트레스가 풀리셨으면하는 마음이에요 저도 스트레스받으면 마음으로 삭히는 타입이라 좀 화병같은게 있는데 제가 뭐라 할 수 없지만 힘내셨으면 좋겠어요","anger syndrome"
"여긴 몇년 지났는데 점심시간에 배달 주문 취식 땜에 사람은 많아 그것 보면 취향이 지역마다 다른게 아닐까","nicotine"
"노망들어서 아예 벽에다 똥을 칠하고 달밤에 미친 널을 뛰는구나정신병원부터 먼저 가봐라 헛소리하는걸 보니 고열에 조현병증상 까지","schizophrenia"
"폐암과알코올중독으로단명하고싶다면 마이데이되시는걸추천드립니다","alcoholism"
"박사님 금연중인데 금단현상이 몸에서 일어나네요 담배의 해로운점을 설명해주십셔 금연의지를 확고할수있도록 도움 주세요","insomnia"
"금연약 챔픽스로 금연 일차의 마시멜로 이야기 금단현상은 없지만 담배에 대한 환경과 유혹을 없애자 금연보조제 챔픽스 의사 처방전으로 약국에서","insomnia"
"뇌물 아귀여워 담배 피운대 하악학 짱조아 클레멘스한테 붙잡혀서 금단현상 온 데이 보고십다","insomnia"
"프아들이존나쳐먹는 보통 폭식증환자한테 처방하는 약이요 그거 먹으면 사람이 미침 전에도 디에타민 먹은 대여자가 중추돌 차사고 내고 뭔 공습경보급 헛소리하면서 튀다가 잡힘요 디에타민 먹고 겜친들이랑 디코하먄서 겜햇는데 사실 컴터 안켜져 잇엇다는 사람도 잇던데","bipolar disorder"
"그거 요즘 안통하던데 고등학생이 고등학교온 초등학생 욕한것만 봐도","nicotine"
"살면서겪은일본사람다하기 연애 키스 자퇴 전학 선도 자해 자살시도 가출 골절 입원 해외여행 동아리 술 담배 도박 알바 절교 장학금 상장 외박 사고 흉터 피어싱","suicide"
"키스 술 담배 자해 자살시도 자퇴 전학 선도 혼자여행 해외여행 가출 피어싱 응급실 연애 경찰서 버려진 애완동물 때문에 간적 있음 경찰차도 타보고확실하지는 않아요 살면서겪어본일","suicide"
"담배중독 윤기남 가오때문에 담배피는데 좆같을때 계속 피다보니까 담배중독이면 좋겠음 다른애들앞에서는 연초피고 없이 집에서 혼자일땐 전담빨았으면 좋겠다 그것도 일회용 비타치 이런거 나름 가오라고 민트로 피는거지 과일맛은 쫀심상하자나","insomnia"
"군데 옾챗하면서 느낀 곤데 프아랑 다이어터 헷갈려 하시는 분들이 꽤나 많은 것 같움 다이어터는 먹을 건 먹고 운동도 좀 하면서 건강한 방법으로 살 빼는 거고 프아는 구냥 섭식장애 거식증 동경하는 군데","bipolar disorder"
"남원시 치매환자 실종 실종없는 도시 구현","alzheimer"
"살면서 겪은일 본사람 다하기 연애 키스 자퇴 전학 선도 자해 자살시도 가출 골절 입원 해외여행 동아리 술 담배 도박 알바 절교 장학금 상장 외박 사고 흉터 피어싱 훔 본사람 다하기","suicide"
"사랑의 긴장감이라고 하기엔 레즈비언물에서 자주 보이는 불안한 표정과 시선 연기가 있음 저게 사랑의 감정인지도 모르겠고 앞으로 자멸적 행동을 예고하는건지 처음엔 같이 떨리고 초조했는데 쌓이다보니 영화가 아무리 좋아도 피로해진다","depression"
